時間,ひずみ電圧[1mm],先端の変位[1mm],ひずみ電圧[0.8mm],先端の変位[0.8mm],トルク[ノイズカット]
0.608,4.388123,0.143930434,5.06073,0.20748993,-1.0159574
0.61,4.391174,0.144030507,5.141296,0.210793136,-1.040439
0.612,4.389954,0.143990491,5.136719,0.210605479,-1.0074084
0.614,4.363708,0.143129622,5.271606,0.216135846,-0.968938
0.616,4.358826,0.142969493,5.346985,0.219226385,-1.0008024
0.618,4.346313,0.142559066,5.419006,0.222179246,-1.0054655
0.62,4.328308,0.141968502,5.483704,0.224831864,-0.9732125
0.622,4.30542,0.141217776,5.552979,0.227672139,-0.9425138
0.624,4.288025,0.14064722,5.608826,0.229961866,-0.9693266
0.626,4.277344,0.140296883,5.668945,0.232426745,-1.0112944
0.628,4.259949,0.139726327,5.725403,0.234741523,-1.0468502
0.63,4.259338,0.139706286,5.772705,0.236680905,-1.082406
0.632,4.245605,0.139255844,5.827637,0.238933117,-1.027227
0.634,4.23645,0.13895556,5.874329,0.240847489,-1.0101286
0.636,4.197693,0.13768433,5.919495,0.242699295,-0.9724353
0.638,4.208679,0.138044671,5.961304,0.244413464,-0.9794299
0.64,4.182129,0.137173831,5.999146,0.245964986,-1.0112944
0.642,4.172058,0.136843502,6.029968,0.247228688,-1.025672
0.644,4.150085,0.136122788,6.054688,0.248242208,-0.9891447
0.646,4.129944,0.135462163,6.072693,0.248980413,-0.9491199
0.648,4.112244,0.134881603,6.091003,0.249731123,-0.9747668
0.65,4.093323,0.134260994,6.091309,0.249743669,-0.9623319
0.652,4.076233,0.133700442,6.108093,0.250431813,-0.9355192
0.654,4.070129,0.133500231,6.099548,0.250081468,-0.9805956
0.656,4.051819,0.132899663,6.132507,0.251432787,-1.025672
0.658,4.049072,0.132809562,6.147766,0.252058406,-1.036164
0.66,4.039307,0.13248927,6.157532,0.252458812,-0.9976937
0.662,4.020996,0.131888669,6.178589,0.253322149,-1.0179004
0.664,4.009399,0.131508287,6.200867,0.254235547,-0.9875903
0.666,4.006348,0.131408214,6.22406,0.25518646,-1.0035225
0.668,3.988647,0.130827622,6.25,0.25625,-1.0019682
0.67,3.955688,0.129746566,6.271057,0.257113337,-1.0105172
0.672,3.923645,0.128695556,6.290588,0.257914108,-0.9914762
0.674,3.887634,0.127514395,6.382446,0.261680286,-1.00157955
0.676,3.841858,0.126012942,6.329346,0.259503186,-1.0116829
0.678,3.80249,0.124721672,6.341858,0.260016178,-0.9767098
0.68,3.747559,0.122919935,6.329651,0.259515691,-0.9533944
0.682,3.717957,0.12194899,6.367798,0.261079718,-0.95184
0.684,3.656616,0.119937005,6.383667,0.261730347,-0.8947172
0.686,3.61145,0.11845556,6.397095,0.262280895,-0.9013232
0.688,3.624268,0.11887599,6.412659,0.262919019,-0.8826709
0.69,3.516846,0.115352549,6.430359,0.263644719,-0.9094836
0.692,3.459167,0.113460678,6.438293,0.263970013,-0.90365475
0.694,3.395996,0.111388669,6.442871,0.264157711,-0.8978259
0.696,3.340759,0.109576895,6.443481,0.264182721,-0.8966602
0.698,3.269043,0.10722461,6.45874,0.26480834,-0.8543038
0.7,3.19397,0.104762216,6.467285,0.265158685,-0.8585783
0.702,3.11615,0.10220972,6.47644,0.26553404,-0.8527494
0.704,3.037415,0.099627212,6.482849,0.265796809,-0.795238
0.706,2.953491,0.096874505,6.47583,0.26550903,-0.8111702
0.708,2.88147,0.094512216,6.479797,0.265671677,-0.8383716
0.71,2.810059,0.092169935,6.481323,0.265734243,-0.78377465
0.712,2.739258,0.089847662,6.467285,0.265158685,-0.7291777
0.714,2.69928,0.088536384,6.442871,0.264157711,-0.7524931
0.716,2.614136,0.085743661,6.407776,0.262718816,-0.7202401
0.718,2.549438,0.083621566,6.374817,0.261367497,-0.7043079
0.72,2.49115,0.08170972,6.330872,0.259565752,-0.7027535
0.722,2.425232,0.07954761,6.274109,0.257238469,-0.6977018
0.724,2.367859,0.077665775,6.227112,0.255311592,-0.6506824
0.726,2.276001,0.074652833,6.174622,0.253159502,-0.6654488
