,t,θ,dθ,ddθ,w1
256,0.512,1.1979379598426811,3.215074485628857,-11.882282643746194,0.04315977265471117
257,0.514,1.2043442418003032,3.1911564934031333,-12.035217785953645,0.04730763219262562
258,0.516,1.2107023838766309,3.1669355941745936,-12.185183418259264,0.051465187191166335
259,0.518,1.217011786221468,3.1424177640876994,-12.332142538887233,0.05563096997974285
260,0.52,1.2232718610104196,3.1176090525501565,-12.47605888787354,0.059803501707113876
261,0.522,1.2294820325899258,3.0925155807403155,-12.616896956012537,0.06398129291677168
262,0.524,1.2356417376192976,3.0671435400968643,-12.754621993618324,0.0681628441287981
263,0.526,1.241750425209712,3.041499190791182,-12.889200019098691,0.07234664642794847
264,0.528,1.2478075570601357,3.0155888601827323,-13.020597827339586,0.07653118205771714
265,0.53,1.2538126075901417,2.9894189412578944,-13.148782997897968,0.08071492502013494
266,0.532,1.2597650640695923,2.9629958910525667,-13.273723903001091,0.0848963416810464
267,0.534,1.2656644267451413,2.9363262290590164,-13.395389715350134,0.08907389138061156
268,0.536,1.2715102089635466,2.9094165356172708,-13.513750415726438,0.09324602704877467
269,0.538,1.2773019372917411,2.882273450291529,-13.628776800398247,0.09741119582544001
270,0.54,1.2830391516336472,2.8549036702319452,-13.740440488326321,0.10156783968509144
271,0.542,1.2887214053436964,2.827313948522206,-13.848713928166529,0.10571439606559176
272,0.544,1.2943482653370346,2.7995110925133067,-13.953570405067715,0.10984929850089428
273,0.546,1.2999193121963781,2.77150196214395,-14.054984047263204,0.1139709772573977
274,0.548,1.3054341402754996,2.743293468247938,-14.152929832454275,0.11807785997367327
275,0.55,1.310892357799313,2.714892570849055,-14.24738359398402,0.12216837230329161
276,0.552,1.316293586960541,2.686306277443757,-14.338322026800121,0.12624093856047436
277,0.554,1.3216374640129327,2.657541641272192,-14.425722693205044,0.13029398236829487
278,0.556,1.326923639361009,2.6286057595779306,-14.509564028392123,0.13432592730915027
279,0.558,1.3321517776463268,2.599505771856795,-14.589825345766474,0.13833519757722593
280,0.56,1.3373215578302156,2.5702488580953315,-14.666486842048997,0.14232021863267222
281,0.562,1.3424326732729974,2.540842236999221,-14.7395296021626,0.14627941785721266
282,0.5640000000000001,1.3474848318096375,2.5112931642122067,-14.808935603899176,0.1502112252109008
283,0.5660000000000001,1.3524777558218388,2.481608930525839,-14.874687722366364,0.1541140738897429
284,0.5680000000000001,1.357411182306534,2.451796860080613,-14.936769734212778,0.1579864009839029
285,0.5700000000000001,1.362284862940783,2.421864308558813,-14.995166321630965,0.16182664813620476
286,0.5720000000000001,1.3670985641430378,2.3918186613696486,-15.049863076136772,0.16563326220064753
287,0.5740000000000001,1.37185206713078,2.3616673318269727,-15.100846502124485,0.16940469590064797
288,0.5760000000000001,1.3765451679744973,2.3314177593201917,-15.148104020196605,0.17313940848672477
289,0.578,1.3811776776480063,2.3010774074786813,-15.191623970267703,0.17683586639333887
290,0.58,1.3857494220750841,2.2706537623302716,-15.231395614441269,0.18049254389460415
291,0.582,1.3902602421724266,2.24015433045416,-15.267409139659256,0.1841079237585829
292,0.584,1.3947099938888936,2.2095866371287936,-15.299655660123161,0.1876804978998807
